Id,SalePrice
1461,134930.67
1462,164109.36
1463,185708.58
1464,193040.48
1465,184240.67
1466,181606.73
1467,180547.7
1468,175356.58
1469,187400.95
1470,136230.23
1471,208151.83
1472,119041.11
1473,117944.016
1474,152763.28
1475,118665.83
1476,430489.16
1477,247263.77
1478,306442.78
1479,303426.5
1480,477117.62
1481,322072.7
1482,207306.62
1483,191291.69
1484,163241.23
1485,185288.45
1486,201349.06
1487,327818.97
1488,229898.42
1489,194383.7
1490,243087.23
1491,208109.27
1492,102303.93
1493,182718.08
1494,276482.44
1495,282257.34
1496,239329.8
1497,178886.36
1498,167079.3
1499,165753.06
1500,165686.11
1501,179515.77
1502,164880.11
1503,281053.12
1504,243591.22
1505,234629.66
1506,182876.9
1507,265481.2
1508,202647.11
1509,168994.31
1510,156446.33
1511,162371.0
1512,182199.14
1513,152752.36
1514,159492.95
1515,189629.67
1516,161322.73
1517,166323.39
1518,147795.19
1519,226156.55
1520,143285.95
1521,144042.83
1522,174062.7
1523,118845.76
1524,141508.03
1525,133223.38
1526,127080.305
1527,113471.45
1528,137101.05
1529,157138.78
1530,181654.64
1531,136338.6
1532,110448.49
1533,166163.66
1534,117309.59
1535,164951.42
1536,121242.34
1537,65432.008
1538,159917.3
1539,227767.55
1540,124647.24
1541,146388.95
1542,140881.69
1543,209068.16
1544,91477.76
1545,121127.88
1546,145731.02
1547,144351.33
1548,129067.36
1549,121779.97
1550,150104.94
1551,127831.36
1552,145652.3
1553,157448.4
1554,139019.77
1555,177463.39
1556,102907.9
1557,119988.36
1558,118741.22
1559,99251.164
1560,155190.95
1561,147857.84
1562,143353.38
1563,129086.17
1564,162065.28
1565,150068.12
1566,260453.67
1567,81903.15
1568,245628.9
1569,159267.42
1570,156440.69
1571,138703.47
1572,151820.77
1573,280885.62
1574,147926.64
1575,278875.97
1576,247206.31
1577,183946.67
1578,146776.02
1579,142225.6
1580,198249.36
1581,167163.05
1582,135618.17
1583,315007.38
1584,240500.69
1585,145161.7
1586,80115.52
1587,124496.08
1588,158703.17
1589,121151.86
1590,153151.53
1591,112486.17
1592,138280.42
1593,136102.12
1594,144379.69
1595,124296.7
1596,204341.42
1597,173442.12
1598,190456.34
1599,173466.33
1600,167713.81
1601,82131.68
1602,136895.22
1603,82775.37
1604,258664.14
1605,262959.4
1606,171358.12
1607,166355.95
1608,213301.1
1609,188295.05
1610,165792.42
1611,152248.53
1612,181570.06
1613,177020.66
1614,147960.22
1615,110300.17
1616,99975.67
1617,107030.484
1618,134017.17
1619,153268.73
1620,190144.56
1621,152712.23
1622,160819.03
1623,297753.22
1624,245078.19
1625,131473.44
1626,171485.95
1627,197147.52
1628,278118.62
1629,178645.38
1630,323165.94
1631,199720.58
1632,235808.48
1633,177523.11
1634,189342.67
1635,183671.47
1636,160959.0
1637,216627.75
1638,188363.69
1639,186878.28
1640,258140.75
1641,189410.39
1642,237900.88
1643,242463.31
1644,229268.28
1645,200116.31
1646,164931.52
1647,165416.03
1648,148175.45
1649,156546.77
1650,127247.664
1651,137225.62
1652,122255.47
1653,123477.83
1654,154384.19
1655,153514.84
1656,150050.38
1657,155484.14
1658,154918.72
1659,131320.61
1660,166185.06
1661,483771.72
1662,374958.94
1663,387678.8
1664,347396.22
1665,314102.25
1666,337228.34
1667,351638.4
1668,403570.28
1669,291441.3
1670,360014.66
1671,273884.75
1672,400105.7
1673,332508.34
1674,253711.16
1675,199805.58
1676,205337.27
1677,220853.95
1678,421105.62
1679,376150.75
1680,331101.7
1681,254677.25
1682,310030.88
1683,190258.08
1684,173646.86
1685,177972.03
1686,171466.64
1687,175352.3
1688,193272.03
1689,191591.28
1690,190281.78
1691,182724.0
1692,264458.53
1693,174516.31
1694,180540.16
1695,171177.7
1696,263440.12
1697,174506.52
1698,335912.34
1699,317636.94
1700,262906.78
1701,259047.92
1702,261324.12
1703,269061.78
1704,311018.22
1705,246618.84
1706,268159.1
1707,226636.67
1708,219487.73
1709,292745.4
1710,229660.9
1711,277887.88
1712,271557.6
1713,309691.44
1714,248142.6
1715,207506.6
1716,189525.64
1717,171665.69
1718,146668.48
1719,224571.84
1720,234419.47
1721,174762.11
1722,144518.08
1723,168574.56
1724,209495.67
1725,248111.39
1726,181326.8
1727,161943.14
1728,190603.75
1729,166814.83
1730,160171.67
1731,128531.22
1732,142351.12
1733,126468.94
1734,141132.05
1735,149945.64
1736,131132.42
1737,271549.6
1738,212102.67
1739,283099.97
1740,263256.16
1741,200006.2
1742,171801.0
1743,173516.78
1744,300030.16
1745,260516.12
1746,190760.06
1747,218304.64
1748,238960.05
1749,165023.52
1750,148136.23
1751,237622.77
1752,133383.44
1753,158911.72
1754,190175.7
1755,176977.2
1756,148466.22
1757,132637.27
1758,156919.12
1759,166902.4
1760,178984.89
1761,166344.75
1762,187313.42
1763,178700.06
1764,136390.12
1765,185601.19
1766,183279.1
1767,237985.9
1768,148792.64
1769,178332.97
1770,163999.84
1771,135904.12
1772,155761.27
1773,148075.77
1774,159153.19
1775,145808.6
1776,137772.75
1777,132265.5
1778,147165.61
1779,133887.9
1780,173634.58
1781,141604.77
1782,96496.08
1783,160220.44
1784,119054.44
1785,137903.05
1786,145142.62
1787,167019.17
1788,85067.375
1789,102569.9
1790,103533.84
1791,190623.62
1792,166269.25
1793,152886.73
1794,163360.39
1795,151385.66
1796,133828.75
1797,124510.125
1798,131339.36
1799,127986.01
1800,143468.69
1801,140986.67
1802,133057.03
1803,159900.7
1804,151120.77
1805,149201.03
1806,132038.2
1807,146515.23
1808,128338.36
1809,143570.1
1810,157776.94
1811,122934.56
1812,108546.484
1813,136685.34
1814,103246.664
1815,62897.023
1816,120971.12
1817,126275.23
1818,161588.89
1819,139872.8
1820,95116.94
1821,125947.055
1822,157542.67
1823,78195.23
1824,139884.8
1825,146706.12
1826,116497.12
1827,113714.05
1828,141949.97
1829,119649.85
1830,162221.48
1831,156029.27
1832,120721.0
1833,160045.22
1834,151110.23
1835,155472.83
1836,136273.95
1837,118718.195
1838,151503.38
1839,135419.72
1840,159063.95
1841,147145.89
1842,103353.516
1843,147223.2
1844,150755.66
1845,143285.03
1846,163638.1
1847,170148.98
1848,54277.39
1849,122169.78
1850,129987.35
1851,173185.05
1852,132245.44
1853,153705.66
1854,174324.14
1855,155493.14
1856,238174.61
1857,160686.2
1858,151010.45
1859,139780.34
1860,146678.8
1861,139450.2
1862,295500.78
1863,286704.1
1864,286745.9
1865,409695.88
1866,320953.88
1867,220184.48
1868,304716.47
1869,209942.92
1870,227972.66
1871,249220.02
1872,179028.31
1873,227753.08
1874,159650.42
1875,198404.12
1876,203930.84
1877,210336.08
1878,200946.14
1879,138864.12
1880,143825.28
1881,255485.14
1882,248377.72
1883,186738.45
1884,218980.19
1885,248326.98
1886,277478.47
1887,222057.38
1888,283317.28
1889,178913.95
1890,143833.48
1891,142781.55
1892,137865.34
1893,141265.98
1894,142191.97
1895,145407.38
1896,134938.23
1897,128247.51
1898,135165.62
1899,164006.52
1900,155510.03
1901,170250.58
1902,152625.31
1903,192398.56
1904,140851.45
1905,185837.78
1906,168395.81
1907,235773.28
1908,119975.59
1909,146549.9
1910,132874.4
1911,203483.89
1912,273332.4
1913,162263.62
1914,89461.875
